year,month,region_name,monthly_new_cases,population,incidence_per_100k
2020,2,Abruzzo,8,7796844,0.10
2020,2,Basilicata,0,3902814,0.00
2020,2,Calabria,4,18381060,0.02
2020,2,Campania,52,34978008,0.15
2020,2,Emilia-Romagna,868,25585818,3.39
2020,2,Friuli Venezia Giulia,0,7853814,0.00
2020,2,Lazio,20,35309298,0.06
2020,2,Liguria,168,9009258,1.86
2020,2,Lombardia,2436,58627014,4.16
2020,2,Marche,44,8799024,0.50
2020,2,Molise,0,2171604,0.00
2020,2,Piemonte,44,23703600,0.19
2020,2,Puglia,12,23047446,0.05
2020,2,Sardegna,0,9626358,0.00
2020,2,Sicilia,16,29216028,0.05
2020,2,Toscana,44,20678478,0.21
2020,2,Umbria,0,6445224,0.00
2020,2,Valle d'Aosta,0,1431600,0.00
2020,2,Veneto,764,29394720,2.60
2020,3,Abruzzo,5596,40283694,13.89
2020,3,Basilicata,904,20164539,4.48
2020,3,Calabria,2632,94968810,2.77
2020,3,Campania,8316,180719708,4.60
2020,3,Emilia-Romagna,55428,132193393,41.93
2020,3,Friuli Venezia Giulia,6372,40578039,15.70
2020,3,Lazio,12356,182431373,6.77
2020,3,Liguria,13496,46547833,28.99
2020,3,Lombardia,170372,302906239,56.25
2020,3,Marche,15256,45461624,33.56
2020,3,Molise,576,11219954,5.13
2020,3,Piemonte,37160,122468600,30.34
2020,3,Puglia,7200,119078471,6.05
2020,3,Sardegna,2888,49736183,5.81
2020,3,Sicilia,6572,150949478,4.35
2020,3,Toscana,18388,106838803,17.21
2020,3,Umbria,4312,33300324,12.95
2020,3,Valle d'Aosta,2512,7396600,33.96
2020,3,Veneto,48320,151872720,31.82
2020,4,Abruzzo,6116,38984220,15.69
2020,4,Basilicata,564,19514070,2.89
2020,4,Calabria,1796,91905300,1.95
2020,4,Campania,9324,174890040,5.33
2020,4,Emilia-Romagna,45448,127929090,35.53
2020,4,Friuli Venezia Giulia,5728,39269070,14.59
2020,4,Lazio,14084,176546490,7.98
2020,4,Liguria,18308,45046290,40.64
2020,4,Lombardia,130096,293135070,44.38
2020,4,Marche,9688,43995120,22.02
2020,4,Molise,616,10858020,5.67
2020,4,Piemonte,67952,118518000,57.33
2020,4,Puglia,9076,115237230,7.88
2020,4,Sardegna,2292,48131790,4.76
2020,4,Sicilia,6076,146080140,4.16
2020,4,Toscana,18976,103392390,18.35
2020,4,Umbria,1256,32226120,3.90
2020,4,Valle d'Aosta,2000,7158000,27.94
2020,4,Veneto,49288,146973600,33.54
2020,5,Abruzzo,1256,40283694,3.12
2020,5,Basilicata,128,20164539,0.63
2020,5,Calabria,200,94968810,0.21
2020,5,Campania,1516,180719708,0.84
2020,5,Emilia-Romagna,9416,132193393,7.12
2020,5,Friuli Venezia Giulia,992,40578039,2.44
2020,5,Lazio,4448,182431373,2.44
2020,5,Liguria,6680,46547833,14.35
2020,5,Lombardia,52944,302906239,17.48
2020,5,Marche,1932,45461624,4.25
2020,5,Molise,552,11219954,4.92
2020,5,Piemonte,17392,122468600,14.20
2020,5,Puglia,1688,119078471,1.42
2020,5,Sardegna,244,49736183,0.49
2020,5,Sicilia,1108,150949478,0.73
2020,5,Toscana,3008,106838803,2.82
2020,5,Umbria,156,33300324,0.47
2020,5,Valle d'Aosta,224,7396600,3.03
2020,5,Veneto,6340,151872720,4.17
2020,6,Abruzzo,192,38984220,0.49
2020,6,Basilicata,12,19514070,0.06
2020,6,Calabria,96,91905300,0.10
2020,6,Campania,-448,174890040,-0.26
2020,6,Emilia-Romagna,2824,127929090,2.21
2020,6,Friuli Venezia Giulia,140,39269070,0.36
2020,6,Lazio,1528,176546490,0.87
2020,6,Liguria,1256,45046290,2.79
2020,6,Lombardia,19732,293135070,6.73
2020,6,Marche,208,43995120,0.47
2020,6,Molise,36,10858020,0.33
2020,6,Piemonte,2848,118518000,2.40
2020,6,Puglia,148,115237230,0.13
2020,6,Sardegna,76,48131790,0.16
2020,6,Sicilia,136,146080140,0.09
2020,6,Toscana,584,103392390,0.56
2020,6,Umbria,40,32226120,0.12
2020,6,Valle d'Aosta,44,7158000,0.61
2020,6,Veneto,884,146973600,0.60
2020,7,Abruzzo,392,40283694,0.97
2020,7,Basilicata,204,20164539,1.01
2020,7,Calabria,340,94968810,0.36
2020,7,Campania,1236,180719708,0.68
2020,7,Emilia-Romagna,4800,132193393,3.63
2020,7,Friuli Venezia Giulia,344,40578039,0.85
2020,7,Lazio,2148,182431373,1.18
2020,7,Liguria,948,46547833,2.04
2020,7,Lombardia,9272,302906239,3.06
2020,7,Marche,416,45461624,0.92
2020,7,Molise,104,11219954,0.93
2020,7,Piemonte,1272,122468600,1.04
2020,7,Puglia,332,119078471,0.28
2020,7,Sardegna,160,49736183,0.32
2020,7,Sicilia,832,150949478,0.55
2020,7,Toscana,932,106838803,0.87
2020,7,Umbria,100,33300324,0.30
2020,7,Valle d'Aosta,52,7396600,0.70
2020,7,Veneto,4140,151872720,2.73
2020,8,Abruzzo,1608,40283694,3.99
2020,8,Basilicata,300,20164539,1.49
2020,8,Calabria,900,94968810,0.95
2020,8,Campania,8268,180719708,4.58
2020,8,Emilia-Romagna,9032,132193393,6.83
2020,8,Friuli Venezia Giulia,1500,40578039,3.70
2020,8,Lazio,10176,182431373,5.58
2020,8,Liguria,2948,46547833,6.33
2020,8,Lombardia,15424,302906239,5.09
2020,8,Marche,1424,45461624,3.13
2020,8,Molise,216,11219954,1.93
2020,8,Piemonte,4856,122468600,3.97
2020,8,Puglia,3316,119078471,2.78
2020,8,Sardegna,3188,49736183,6.41
2020,8,Sicilia,4116,150949478,2.73
2020,8,Toscana,5500,106838803,5.15
2020,8,Umbria,1308,33300324,3.93
2020,8,Valle d'Aosta,132,7396600,1.78
2020,8,Veneto,12596,151872720,8.29
2020,9,Abruzzo,2612,38984220,6.70
2020,9,Basilicata,1140,19514070,5.84
2020,9,Calabria,1976,91905300,2.15
2020,9,Campania,22536,174890040,12.89
2020,9,Emilia-Romagna,13580,127929090,10.62
2020,9,Friuli Venezia Giulia,3588,39269070,9.14
2020,9,Lazio,21136,176546490,11.97
2020,9,Liguria,9536,45046290,21.17
2020,9,Lombardia,26608,293135070,9.08
2020,9,Marche,2860,43995120,6.50
2020,9,Molise,520,10858020,4.79
2020,9,Piemonte,10084,118518000,8.51
2020,9,Puglia,9384,115237230,8.14
2020,9,Sardegna,6828,48131790,14.19
2020,9,Sicilia,11204,146080140,7.67
2020,9,Toscana,11876,103392390,11.49
2020,9,Umbria,2644,32226120,8.20
2020,9,Valle d'Aosta,292,7158000,4.08
2020,9,Veneto,24088,146973600,16.39
2020,10,Abruzzo,24572,40283694,61.00
2020,10,Basilicata,5568,20164539,27.61
2020,10,Calabria,12324,94968810,12.98
2020,10,Campania,171992,180719708,95.17
2020,10,Emilia-Romagna,82224,132193393,62.20
2020,10,Friuli Venezia Giulia,24700,40578039,60.87
2020,10,Lazio,119788,182431373,65.66
2020,10,Liguria,61092,46547833,131.25
2020,10,Lombardia,356068,302906239,117.55
2020,10,Marche,24664,45461624,54.25
2020,10,Molise,4160,11219954,37.08
2020,10,Piemonte,140936,122468600,115.08
2020,10,Puglia,43344,119078471,36.40
2020,10,Sardegna,22124,49736183,44.48
2020,10,Sicilia,58560,150949478,38.79
2020,10,Toscana,117744,106838803,110.21
2020,10,Umbria,30900,33300324,92.79
2020,10,Valle d'Aosta,7704,7396600,104.16
2020,10,Veneto,149964,151872720,98.74
2020,11,Abruzzo,69944,38984220,179.42
2020,11,Basilicata,23808,19514070,122.00
2020,11,Calabria,46596,91905300,50.70
2020,11,Campania,398316,174890040,227.75
2020,11,Emilia-Romagna,269164,127929090,210.40
2020,11,Friuli Venezia Giulia,79236,39269070,201.78
2020,11,Lazio,293432,176546490,166.21
2020,11,Liguria,92304,45046290,204.91
2020,11,Lombardia,848188,293135070,289.35
2020,11,Marche,62740,43995120,142.61
2020,11,Molise,12072,10858020,111.18
2020,11,Piemonte,387520,118518000,326.97
2020,11,Puglia,142792,115237230,123.91
2020,11,Sardegna,48176,48131790,100.09
2020,11,Sicilia,167712,146080140,114.81
2020,11,Toscana,236712,103392390,228.95
2020,11,Umbria,54516,32226120,169.17
2020,11,Valle d'Aosta,13080,7158000,182.73
2020,11,Veneto,442516,146973600,301.09
2020,12,Abruzzo,29208,40283694,72.51
2020,12,Basilicata,10736,20164539,53.24
2020,12,Calabria,28768,94968810,30.29
2020,12,Campania,137416,180719708,76.04
2020,12,Emilia-Romagna,193960,132193393,146.72
2020,12,Friuli Venezia Giulia,79956,40578039,197.04
2020,12,Lazio,173084,182431373,94.88
2020,12,Liguria,35140,46547833,75.49
2020,12,Lombardia,284448,302906239,93.91
2020,12,Marche,47272,45461624,103.98
2020,12,Molise,7256,11219954,64.67
2020,12,Piemonte,131608,122468600,107.46
2020,12,Puglia,146576,119078471,123.09
2020,12,Sardegna,38552,49736183,77.51
2020,12,Sicilia,119832,150949478,79.39
2020,12,Toscana,67548,106838803,63.22
2020,12,Umbria,20608,33300324,61.89
2020,12,Valle d'Aosta,3100,7396600,41.91
2020,12,Veneto,480588,151872720,316.44
2021,1,Abruzzo,30176,40633653,74.26
2021,1,Basilicata,9624,20417127,47.14
2021,1,Calabria,35308,92611229,38.12
2021,1,Campania,130048,173696844,74.87
2021,1,Emilia-Romagna,188888,128681124,146.79
2021,1,Friuli Venezia Giulia,68444,40820366,167.67
2021,1,Lazio,169588,178180095,95.18
2021,1,Liguria,36796,46138943,79.75
2021,1,Lombardia,236604,300980612,78.61
2021,1,Marche,55452,46452353,119.37
2021,1,Molise,7304,11048834,66.11
2021,1,Piemonte,101076,128896791,78.42
2021,1,Puglia,127772,116396692,109.77
2021,1,Sardegna,29696,49594327,59.88
2021,1,Sicilia,169836,149200458,113.83
2021,1,Toscana,56512,109699018,51.52
2021,1,Umbria,28364,33282654,85.22
2021,1,Valle d'Aosta,2172,7171478,30.29
2021,1,Veneto,298680,153238704,194.91
2021,2,Abruzzo,46564,36701364,126.87
2021,2,Basilicata,9616,18441276,52.14
2021,2,Calabria,20532,83648852,24.55
2021,2,Campania,181736,156887472,115.84
2021,2,Emilia-Romagna,168788,116228112,145.22
2021,2,Friuli Venezia Giulia,37112,36870008,100.66
2021,2,Lazio,115120,160936860,71.53
2021,2,Liguria,33240,41673884,79.76
2021,2,Lombardia,260108,271853456,95.68
2021,2,Marche,49480,41956964,117.93
2021,2,Molise,9368,9979592,93.87
2021,2,Piemonte,96148,116422908,82.59
2021,2,Puglia,96572,105132496,91.86
2021,2,Sardegna,10616,44794876,23.70
2021,2,Sicilia,65820,134761704,48.84
2021,2,Toscana,87116,99082984,87.92
2021,2,Umbria,34528,30061752,114.86
2021,2,Valle d'Aosta,1028,6477464,15.87
2021,2,Veneto,166520,138409152,120.31
2021,3,Abruzzo,43200,40633653,106.32
2021,3,Basilicata,15292,20417127,74.90
2021,3,Calabria,36312,92611229,39.21
2021,3,Campania,278680,173696844,160.44
2021,3,Emilia-Romagna,303092,128681124,235.54
2021,3,Friuli Venezia Giulia,82712,40820366,202.62
2021,3,Lazio,204876,178180095,114.98
2021,3,Liguria,45384,46138943,98.36
2021,3,Lombardia,529732,300980612,176.00
2021,3,Marche,81156,46452353,174.71
2021,3,Molise,6316,11048834,57.16
2021,3,Piemonte,248584,128896791,192.86
2021,3,Puglia,183848,116396692,157.95
2021,3,Sardegna,17248,49594327,34.78
2021,3,Sicilia,86260,149200458,57.81
2021,3,Toscana,156556,109699018,142.71
2021,3,Umbria,24900,33282654,74.81
2021,3,Valle d'Aosta,4744,7171478,66.15
2021,3,Veneto,243908,153238704,159.17
2021,4,Abruzzo,23992,39322890,61.01
2021,4,Basilicata,17992,19758510,91.06
2021,4,Calabria,52464,89623770,58.54
2021,4,Campania,218012,168093720,129.70
2021,4,Emilia-Romagna,134432,124530120,107.95
2021,4,Friuli Venezia Giulia,30664,39503580,77.62
2021,4,Lazio,153228,172432350,88.86
2021,4,Liguria,40368,44650590,90.41
2021,4,Lombardia,276544,291271560,94.94
2021,4,Marche,38236,44953890,85.06
2021,4,Molise,3832,10692420,35.84
2021,4,Piemonte,144452,124738830,115.80
2021,4,Puglia,167316,112641960,148.54
2021,4,Sardegna,36016,47994510,75.04
2021,4,Sicilia,137456,144387540,95.20
2021,4,Toscana,125872,106160340,118.57
2021,4,Umbria,14136,32209020,43.89
2021,4,Valle d'Aosta,6536,6940140,94.18
2021,4,Veneto,136236,148295520,91.87
2021,5,Abruzzo,11316,40633653,27.85
2021,5,Basilicata,9440,20417127,46.24
2021,5,Calabria,27432,92611229,29.62
2021,5,Campania,109908,173696844,63.28
2021,5,Emilia-Romagna,58908,128681124,45.78
2021,5,Friuli Venezia Giulia,7400,40820366,18.13
2021,5,Lazio,73076,178180095,41.01
2021,5,Liguria,13380,46138943,29.00
2021,5,Lombardia,121988,300980612,40.53
2021,5,Marche,19908,46452353,42.86
2021,5,Molise,1432,11048834,12.96
2021,5,Piemonte,59524,128896791,46.18
2021,5,Puglia,62312,116396692,53.53
2021,5,Sardegna,8608,49594327,17.36
2021,5,Sicilia,69288,149200458,46.44
2021,5,Toscana,58320,109699018,53.16
2021,5,Umbria,7764,33282654,23.33
2021,5,Valle d'Aosta,2644,7171478,36.87
2021,5,Veneto,58444,153238704,38.14
2021,6,Abruzzo,3264,39322890,8.30
2021,6,Basilicata,2528,19758510,12.79
2021,6,Calabria,8120,89623770,9.06
2021,6,Campania,20172,168093720,12.00
2021,6,Emilia-Romagna,11900,124530120,9.56
2021,6,Friuli Venezia Giulia,2396,39503580,6.07
2021,6,Lazio,15768,172432350,9.14
2021,6,Liguria,1916,44650590,4.29
2021,6,Lombardia,26832,291271560,9.21
2021,6,Marche,3832,44953890,8.52
2021,6,Molise,532,10692420,4.98
2021,6,Piemonte,10600,124738830,8.50
2021,6,Puglia,11688,112641960,10.38
2021,6,Sardegna,2308,47994510,4.81
2021,6,Sicilia,23548,144387540,16.31
2021,6,Toscana,11408,106160340,10.75
2021,6,Umbria,1880,32209020,5.84
2021,6,Valle d'Aosta,392,6940140,5.65
2021,6,Veneto,11372,148295520,7.67
2021,7,Abruzzo,5612,40633653,13.81
2021,7,Basilicata,1808,20417127,8.86
2021,7,Calabria,7972,92611229,8.61
2021,7,Campania,27004,173696844,15.55
2021,7,Emilia-Romagna,30136,128681124,23.42
2021,7,Friuli Venezia Giulia,4456,40820366,10.92
2021,7,Lazio,50252,178180095,28.20
2021,7,Liguria,7580,46138943,16.43
2021,7,Lombardia,44580,300980612,14.81
2021,7,Marche,7688,46452353,16.55
2021,7,Molise,788,11048834,7.13
2021,7,Piemonte,11612,128896791,9.01
2021,7,Puglia,10760,116396692,9.24
2021,7,Sardegna,19260,49594327,38.84
2021,7,Sicilia,44976,149200458,30.14
2021,7,Toscana,30796,109699018,28.07
2021,7,Umbria,5996,33282654,18.02
2021,7,Valle d'Aosta,296,7171478,4.13
2021,7,Veneto,49124,153238704,32.06
2021,8,Abruzzo,11392,40633653,28.04
2021,8,Basilicata,6156,20417127,30.15
2021,8,Calabria,27028,92611229,29.18
2021,8,Campania,58856,173696844,33.88
2021,8,Emilia-Romagna,70876,128681124,55.08
2021,8,Friuli Venezia Giulia,11192,40820366,27.42
2021,8,Lazio,64500,178180095,36.20
2021,8,Liguria,17908,46138943,38.81
2021,8,Lombardia,66896,300980612,22.23
2021,8,Marche,19820,46452353,42.67
2021,8,Molise,1332,11048834,12.06
2021,8,Piemonte,26720,128896791,20.73
2021,8,Puglia,30092,116396692,25.85
2021,8,Sardegna,39732,49594327,80.11
2021,8,Sicilia,134360,149200458,90.05
2021,8,Toscana,77168,109699018,70.35
2021,8,Umbria,13336,33282654,40.07
2021,8,Valle d'Aosta,1016,7171478,14.17
2021,8,Veneto,82228,153238704,53.66
2021,9,Abruzzo,8784,39322890,22.34
2021,9,Basilicata,4788,19758510,24.23
2021,9,Calabria,24252,89623770,27.06
2021,9,Campania,42516,168093720,25.29
2021,9,Emilia-Romagna,47784,124530120,38.37
2021,9,Friuli Venezia Giulia,11932,39503580,30.20
2021,9,Lazio,39576,172432350,22.95
2021,9,Liguria,11572,44650590,25.92
2021,9,Lombardia,56200,291271560,19.29
2021,9,Marche,13360,44953890,29.72
2021,9,Molise,1012,10692420,9.46
2021,9,Piemonte,26180,124738830,20.99
2021,9,Puglia,20344,112641960,18.06
2021,9,Sardegna,13092,47994510,27.28
2021,9,Sicilia,86120,144387540,59.65
2021,9,Toscana,43788,106160340,41.25
2021,9,Umbria,8496,32209020,26.38
2021,9,Valle d'Aosta,436,6940140,6.28
2021,9,Veneto,68648,148295520,46.29
2021,10,Abruzzo,7124,40633653,17.53
2021,10,Basilicata,2540,20417127,12.44
2021,10,Calabria,15128,92611229,16.33
2021,10,Campania,43236,173696844,24.89
2021,10,Emilia-Romagna,34276,128681124,26.64
2021,10,Friuli Venezia Giulia,14004,40820366,34.31
2021,10,Lazio,42396,178180095,23.79
2021,10,Liguria,8872,46138943,19.23
2021,10,Lombardia,43356,300980612,14.40
2021,10,Marche,9500,46452353,20.45
2021,10,Molise,676,11048834,6.12
2021,10,Piemonte,23660,128896791,18.36
2021,10,Puglia,17096,116396692,14.69
2021,10,Sardegna,3720,49594327,7.50
2021,10,Sicilia,39424,149200458,26.42
2021,10,Toscana,29700,109699018,27.07
2021,10,Umbria,5688,33282654,17.09
2021,10,Valle d'Aosta,728,7171478,10.15
2021,10,Veneto,57612,153238704,37.60
2021,11,Abruzzo,18628,39322890,47.37
2021,11,Basilicata,3204,19758510,16.22
2021,11,Calabria,21536,89623770,24.03
2021,11,Campania,93764,168093720,55.78
2021,11,Emilia-Romagna,94876,124530120,76.19
2021,11,Friuli Venezia Giulia,55544,39503580,140.60
2021,11,Lazio,113700,172432350,65.94
2021,11,Liguria,28048,44650590,62.82
2021,11,Lombardia,151844,291271560,52.13
2021,11,Marche,30508,44953890,67.87
2021,11,Molise,2164,10692420,20.24
2021,11,Piemonte,57284,124738830,45.92
2021,11,Puglia,25880,112641960,22.98
2021,11,Sardegna,10696,47994510,22.29
2021,11,Sicilia,62012,144387540,42.95
2021,11,Toscana,47436,106160340,44.68
2021,11,Umbria,9120,32209020,28.32
2021,11,Valle d'Aosta,3532,6940140,50.89
2021,11,Veneto,193304,148295520,130.35
2021,12,Abruzzo,75716,40633653,186.34
2021,12,Basilicata,18920,20417127,92.67
2021,12,Calabria,75240,92611229,81.24
2021,12,Campania,370416,173696844,213.25
2021,12,Emilia-Romagna,324440,128681124,252.13
2021,12,Friuli Venezia Giulia,100776,40820366,246.88
2021,12,Lazio,326812,178180095,183.42
2021,12,Liguria,106644,46138943,231.14
2021,12,Lombardia,1139160,300980612,378.48
2021,12,Marche,86420,46452353,186.04
2021,12,Molise,5884,11048834,53.25
2021,12,Piemonte,381924,128896791,296.30
2021,12,Puglia,119092,116396692,102.32
2021,12,Sardegna,37492,49594327,75.60
2021,12,Sicilia,192584,149200458,129.08
2021,12,Toscana,320412,109699018,292.08
2021,12,Umbria,85316,33282654,256.34
2021,12,Valle d'Aosta,12016,7171478,167.55
2021,12,Veneto,609328,153238704,397.63
2022,1,Abruzzo,434948,39815129,1092.42
2022,1,Basilicata,109780,20576715,533.52
2022,1,Calabria,233660,93370450,250.25
2022,1,Campania,1792204,178304560,1005.14
2022,1,Emilia-Romagna,2056856,129646805,1586.51
2022,1,Friuli Venezia Giulia,449256,41531072,1081.73
2022,1,Lazio,1508336,173337616,870.17
2022,1,Liguria,528432,44737991,1181.17
2022,1,Lombardia,3646868,305291596,1194.55
2022,1,Marche,461788,46364282,996.00
2022,1,Molise,53068,11042634,480.57
2022,1,Piemonte,1516380,129675480,1169.37
2022,1,Puglia,826700,118693203,696.50
2022,1,Sardegna,147884,50224278,294.45
2022,1,Sicilia,997920,152530757,654.24
2022,1,Toscana,1430828,108890011,1314.01
2022,1,Umbria,264920,32447328,816.46
2022,1,Valle d'Aosta,51704,7252357,712.93
2022,1,Veneto,2409988,150025027,1606.39
2022,2,Abruzzo,192976,35962052,536.61
2022,2,Basilicata,77568,18585420,417.36
2022,2,Calabria,181108,84334600,214.75
2022,2,Campania,698604,161049280,433.78
2022,2,Emilia-Romagna,543384,117100340,464.03
2022,2,Friuli Venezia Giulia,161664,37511936,430.97
2022,2,Lazio,764612,156563008,488.37
2022,2,Liguria,192312,40408508,475.92
2022,2,Lombardia,813916,275747248,295.17
2022,2,Marche,265016,41877416,632.84
2022,2,Molise,36196,9973992,362.90
2022,2,Piemonte,416208,117126240,355.35
2022,2,Puglia,527680,107206764,492.21
2022,2,Sardegna,201928,45363864,445.13
2022,2,Sicilia,610716,137769716,443.29
2022,2,Toscana,466872,98352268,474.69
2022,2,Umbria,116400,29307264,397.17
2022,2,Valle d'Aosta,9172,6550516,140.02
2022,2,Veneto,880132,135506476,649.51
2022,3,Abruzzo,206856,39815129,519.54
2022,3,Basilicata,92892,20576715,451.44
2022,3,Calabria,320240,93370450,342.98
2022,3,Campania,777396,178304560,435.99
2022,3,Emilia-Romagna,381328,129646805,294.13
2022,3,Friuli Venezia Giulia,104608,41531072,251.88
2022,3,Lazio,849064,173337616,489.83
2022,3,Liguria,161788,44737991,361.63
2022,3,Lombardia,818668,305291596,268.16
2022,3,Marche,253644,46364282,547.07
2022,3,Molise,39980,11042634,362.05
2022,3,Piemonte,289816,129675480,223.49
2022,3,Puglia,734388,118693203,618.73
2022,3,Sardegna,215892,50224278,429.86
2022,3,Sicilia,602316,152530757,394.88
2022,3,Toscana,513440,108890011,471.52
2022,3,Umbria,199604,32447328,615.16
2022,3,Valle d'Aosta,6444,7252357,88.85
2022,3,Veneto,761076,150025027,507.30
2022,4,Abruzzo,237592,38530770,616.63
2022,4,Basilicata,84716,19912950,425.43
2022,4,Calabria,249236,90358500,275.83
2022,4,Campania,808860,172552800,468.76
2022,4,Emilia-Romagna,519784,125464650,414.29
2022,4,Friuli Venezia Giulia,116508,40191360,289.88
2022,4,Lazio,787020,167746080,469.17
2022,4,Liguria,166304,43294830,384.12
2022,4,Lombardia,912504,295443480,308.86
2022,4,Marche,216056,44868660,481.53
2022,4,Molise,43584,10686420,407.84
2022,4,Piemonte,376008,125492400,299.63
2022,4,Puglia,595108,114864390,518.10
2022,4,Sardegna,201036,48604140,413.62
2022,4,Sicilia,475164,147610410,321.90
2022,4,Toscana,452668,105377430,429.57
2022,4,Umbria,136512,31400640,434.74
2022,4,Valle d'Aosta,9716,7018410,138.44
2022,4,Veneto,808424,145185510,556.82
2022,5,Abruzzo,127068,39815129,319.15
2022,5,Basilicata,40680,20576715,197.70
2022,5,Calabria,127420,93370450,136.47
2022,5,Campania,427272,178304560,239.63
2022,5,Emilia-Romagna,302248,129646805,233.13
2022,5,Friuli Venezia Giulia,62900,41531072,151.45
2022,5,Lazio,376668,173337616,217.30
2022,5,Liguria,91152,44737991,203.75
2022,5,Lombardia,510160,305291596,167.11
2022,5,Marche,115744,46364282,249.64
2022,5,Molise,24032,11042634,217.63
2022,5,Piemonte,214860,129675480,165.69
2022,5,Puglia,267084,118693203,225.02
2022,5,Sardegna,129984,50224278,258.81
2022,5,Sicilia,274712,152530757,180.10
2022,5,Toscana,214232,108890011,196.74
2022,5,Umbria,72968,32447328,224.88
2022,5,Valle d'Aosta,6280,7252357,86.59
2022,5,Veneto,397816,150025027,265.17
2022,6,Abruzzo,104248,38530770,270.56
2022,6,Basilicata,34080,19912950,171.14
2022,6,Calabria,107608,90358500,119.09
2022,6,Campania,435916,172552800,252.63
2022,6,Emilia-Romagna,339268,125464650,270.41
2022,6,Friuli Venezia Giulia,89840,40191360,223.53
2022,6,Lazio,546284,167746080,325.66
2022,6,Liguria,101600,43294830,234.67
2022,6,Lombardia,633600,295443480,214.46
2022,6,Marche,102484,44868660,228.41
2022,6,Molise,19924,10686420,186.44
2022,6,Piemonte,214388,125492400,170.84
2022,6,Puglia,289228,114864390,251.80
2022,6,Sardegna,154180,48604140,317.22
2022,6,Sicilia,343084,147610410,232.43
2022,6,Toscana,245876,105377430,233.33
2022,6,Umbria,76340,31400640,243.12
2022,6,Valle d'Aosta,4960,7018410,70.67
2022,6,Veneto,484880,145185510,333.97
2022,7,Abruzzo,301228,39815129,756.57
2022,7,Basilicata,97352,20576715,473.12
2022,7,Calabria,318860,93370450,341.50
