region_name,year,month,total_deceased,total_new_positives
Abruzzo,2022,8,111260,32432
Basilicata,2022,8,30315,8343
Calabria,2022,8,89698,42150
Campania,2022,8,340429,73945
Emilia-Romagna,2022,8,549787,62255
Friuli Venezia Giulia,2022,8,170389,25243
Lazio,2022,8,368835,66269
Liguria,2022,8,1300802,102225
Marche,2022,8,126136,29386
Molise,2022,8,20499,5103
Piemonte,2022,8,420612,46827
Puglia,2022,8,276613,55347
Sardegna,2022,8,82682,21865
Sicilia,2022,8,369340,61862
Toscana,2022,8,327357,38158
Trentino-Alto Adige,2022,8,472603,98329
Umbria,2022,8,62799,14856
Valle d'Aosta,2022,8,16944,1693
Veneto,2022,8,164684,22465
Abruzzo,2022,9,109594,19822
Basilicata,2022,9,29495,4979
Calabria,2022,9,89497,19569
Campania,2022,9,335235,48562
Emilia-Romagna,2022,9,539053,44217
Friuli Venezia Giulia,2022,9,166880,15614
Lazio,2022,9,361433,53656
Liguria,2022,9,1272104,100108
Marche,2022,9,122980,18232
Molise,2022,9,20261,2878
Piemonte,2022,9,408343,49233
Puglia,2022,9,271305,25452
Sardegna,2022,9,82379,10771
Sicilia,2022,9,364949,29465
Toscana,2022,9,321402,29477
Trentino-Alto Adige,2022,9,462820,78192
Umbria,2022,9,62812,12271
Valle d'Aosta,2022,9,16457,979
Veneto,2022,9,162109,17033
Abruzzo,2022,10,114364,28581
Basilicata,2022,10,30597,5107
Calabria,2022,10,94143,22938
Campania,2022,10,348947,62217
Emilia-Romagna,2022,10,562024,95357
Friuli Venezia Giulia,2022,10,173534,28733
Lazio,2022,10,376753,96293
Liguria,2022,10,1326987,209057
Marche,2022,10,128211,31082
Molise,2022,10,21139,3584
Piemonte,2022,10,423047,109712
Puglia,2022,10,282965,39681
Sardegna,2022,10,86042,18703
Sicilia,2022,10,378818,38363
Toscana,2022,10,337215,63553
Trentino-Alto Adige,2022,10,483161,144527
Umbria,2022,10,66733,24062
Valle d'Aosta,2022,10,17131,3005
Veneto,2022,10,170541,32332
Abruzzo,2022,11,112180,24023
Basilicata,2022,11,29749,3614
Calabria,2022,11,92891,16542
Campania,2022,11,340296,56248
Emilia-Romagna,2022,11,551382,81398
Friuli Venezia Giulia,2022,11,169404,25344
Lazio,2022,11,368873,88083
Liguria,2022,11,1304386,172376
Marche,2022,11,125648,24505
Molise,2022,11,20732,2738
Piemonte,2022,11,410949,67441
Puglia,2022,11,276583,36815
Sardegna,2022,11,84432,16642
Sicilia,2022,11,368358,43992
Toscana,2022,11,332586,56300
Trentino-Alto Adige,2022,11,475226,127025
Umbria,2022,11,66899,14658
Valle d'Aosta,2022,11,16731,1354
Veneto,2022,11,169146,22028
Abruzzo,2022,12,117773,24943
Basilicata,2022,12,31173,4231
Calabria,2022,12,98089,19363
Campania,2022,12,355488,59868
Emilia-Romagna,2022,12,581111,66290
Friuli Venezia Giulia,2022,12,177200,23754
Lazio,2022,12,386419,71598
Liguria,2022,12,1373314,110901
Marche,2022,12,131652,25858
Molise,2022,12,21709,3315
Piemonte,2022,12,426344,46666
Puglia,2022,12,289964,42471
Sardegna,2022,12,88566,14248
Sicilia,2022,12,384055,47325
Toscana,2022,12,349484,42936
Trentino-Alto Adige,2022,12,500626,97595
Umbria,2022,12,71416,12842
Valle d'Aosta,2022,12,17408,1087
Veneto,2022,12,179168,18588
Abruzzo,2023,1,119879,11097
Basilicata,2023,1,31436,2331
Calabria,2023,1,101175,11594
Campania,2023,1,360746,25524
Emilia-Romagna,2023,1,592000,18688
Friuli Venezia Giulia,2023,1,180623,5122
Lazio,2023,1,391496,34067
Liguria,2023,1,1397191,33947
Marche,2023,1,134354,7263
Molise,2023,1,22012,1661
Piemonte,2023,1,428109,11078
Puglia,2023,1,294485,23101
Sardegna,2023,1,89425,7101
Sicilia,2023,1,388593,28564
Toscana,2023,1,354458,13692
Trentino-Alto Adige,2023,1,510376,31227
Umbria,2023,1,73809,6511
Valle d'Aosta,2023,1,17517,237
Veneto,2023,1,183106,6277
Abruzzo,2023,2,109550,3449
Basilicata,2023,2,28538,449
Calabria,2023,2,93193,2931
Campania,2023,2,328912,8669
Emilia-Romagna,2023,2,538581,8842
Friuli Venezia Giulia,2023,2,164234,2248
Lazio,2023,2,356745,20621
Liguria,2023,2,1272694,17417
Marche,2023,2,122661,2365
Molise,2023,2,20106,245
Piemonte,2023,2,387004,5356
Puglia,2023,2,268974,5625
Sardegna,2023,2,81647,3065
Sicilia,2023,2,354204,7040
Toscana,2023,2,322623,6963
Trentino-Alto Adige,2023,2,465463,15011
Umbria,2023,2,67991,2620
Valle d'Aosta,2023,2,15870,137
Veneto,2023,2,167163,2474
Abruzzo,2023,3,122134,2566
Basilicata,2023,3,31680,370
Calabria,2023,3,104129,2120
Campania,2023,3,366276,8270
Emilia-Romagna,2023,3,598740,7373
Friuli Venezia Giulia,2023,3,182589,2214
Lazio,2023,3,397459,14976
Liguria,2023,3,1415169,19000
Marche,2023,3,136621,1556
Molise,2023,3,22313,203
Piemonte,2023,3,428774,5829
Puglia,2023,3,300030,4198
Sardegna,2023,3,90871,1784
Sicilia,2023,3,394242,4283
Toscana,2023,3,359936,5646
Trentino-Alto Adige,2023,3,518021,15254
Umbria,2023,3,76305,2180
Valle d'Aosta,2023,3,17587,136
Veneto,2023,3,186550,2373
Abruzzo,2023,4,118558,3671
Basilicata,2023,4,30760,433
Calabria,2023,4,101737,2856
Campania,2023,4,355953,9776
Emilia-Romagna,2023,4,581442,7134
Friuli Venezia Giulia,2023,4,177153,2537
Lazio,2023,4,386208,11152
Liguria,2023,4,1374204,16686
Marche,2023,4,132767,1590
Molise,2023,4,21710,500
Piemonte,2023,4,415264,7028
Puglia,2023,4,292033,5672
Sardegna,2023,4,88209,1899
Sicilia,2023,4,382729,3459
Toscana,2023,4,350259,5696
Trentino-Alto Adige,2023,4,503470,12893
Umbria,2023,4,74420,2183
Valle d'Aosta,2023,4,17126,180
Veneto,2023,4,181989,2386
Abruzzo,2023,5,122885,3507
Basilicata,2023,5,31922,364
Calabria,2023,5,106318,2541
Campania,2023,5,369016,7118
Emilia-Romagna,2023,5,603183,4433
Friuli Venezia Giulia,2023,5,183815,1969
Lazio,2023,5,400589,9823
Liguria,2023,5,1424826,9792
Marche,2023,5,137401,1567
Molise,2023,5,22657,321
Piemonte,2023,5,429483,4065
Puglia,2023,5,303223,4030
Sardegna,2023,5,91496,1759
Sicilia,2023,5,396379,2368
Toscana,2023,5,364031,4572
Trentino-Alto Adige,2023,5,522328,7981
Umbria,2023,5,77199,1876
Valle d'Aosta,2023,5,17754,90
Veneto,2023,5,189689,1772
Abruzzo,2023,6,119258,1358
Basilicata,2023,6,30988,147
Calabria,2023,6,103518,1384
Campania,2023,6,357837,2507
Emilia-Romagna,2023,6,584720,1512
Friuli Venezia Giulia,2023,6,178318,855
Lazio,2023,6,388680,5044
Liguria,2023,6,1381547,3478
Marche,2023,6,133175,559
Molise,2023,6,22103,103
Piemonte,2023,6,415786,1406
Puglia,2023,6,294331,1422
Sardegna,2023,6,88667,1493
Sicilia,2023,6,384328,2048
Toscana,2023,6,355940,1992
Trentino-Alto Adige,2023,6,507133,2513
Umbria,2023,6,74861,592
Valle d'Aosta,2023,6,17194,37
Veneto,2023,6,184585,575
Abruzzo,2023,7,123413,467
Basilicata,2023,7,32039,43
Calabria,2023,7,107322,435
Campania,2023,7,370417,1259
Emilia-Romagna,2023,7,604625,1028
Friuli Venezia Giulia,2023,7,184420,521
Lazio,2023,7,402091,2723
Liguria,2023,7,1428545,2254
Marche,2023,7,137765,307
Molise,2023,7,22878,28
Piemonte,2023,7,429660,801
Puglia,2023,7,304373,698
Sardegna,2023,7,91779,652
Sicilia,2023,7,397559,1228
Toscana,2023,7,370115,1240
Trentino-Alto Adige,2023,7,524769,1819
Umbria,2023,7,77455,261
Valle d'Aosta,2023,7,17794,26
Veneto,2023,7,191121,351
Abruzzo,2023,8,123494,1282
Basilicata,2023,8,32109,78
Calabria,2023,8,107683,1503
Campania,2023,8,370879,3908
Emilia-Romagna,2023,8,605089,3087
Friuli Venezia Giulia,2023,8,184530,1634
Lazio,2023,8,402390,6080
Liguria,2023,8,1429520,6575
Marche,2023,8,137909,1131
Molise,2023,8,22881,145
Piemonte,2023,8,429698,2240
Puglia,2023,8,304525,2784
Sardegna,2023,8,91991,1954
Sicilia,2023,8,398098,810
Toscana,2023,8,371815,2979
Trentino-Alto Adige,2023,8,525114,5605
Umbria,2023,8,77476,642
Valle d'Aosta,2023,8,17794,67
Veneto,2023,8,191387,863
Abruzzo,2023,9,119684,3067
Basilicata,2023,9,31192,289
Calabria,2023,9,104878,3311
Campania,2023,9,359415,18334
Emilia-Romagna,2023,9,586689,9218
Friuli Venezia Giulia,2023,9,178766,3145
Lazio,2023,9,390277,17880
Liguria,2023,9,1385506,29483
Marche,2023,9,133740,2547
Molise,2023,9,22295,350
Piemonte,2023,9,415964,10695
Puglia,2023,9,295248,6417
Sardegna,2023,9,89094,3282
Sicilia,2023,9,386078,815
Toscana,2023,9,361207,8331
Trentino-Alto Adige,2023,9,508867,18079
Umbria,2023,9,75127,2449
Valle d'Aosta,2023,9,17225,270
Veneto,2023,9,185870,2722
Abruzzo,2023,10,123923,3473
Basilicata,2023,10,32381,222
Calabria,2023,10,109798,1902
Campania,2023,10,372129,13168
Emilia-Romagna,2023,10,608161,10782
Friuli Venezia Giulia,2023,10,185013,3900
Lazio,2023,10,404783,17258
Liguria,2023,10,1437788,36339
Marche,2023,10,138621,2806
Molise,2023,10,23330,396
Piemonte,2023,10,430170,14647
Puglia,2023,10,305703,6794
Sardegna,2023,10,92160,1796
Sicilia,2023,10,399969,581
Toscana,2023,10,375010,9150
Trentino-Alto Adige,2023,10,527244,20284
Umbria,2023,10,77787,2956
Valle d'Aosta,2023,10,17881,515
Veneto,2023,10,193212,3011
Abruzzo,2023,11,120301,5489
Basilicata,2023,11,31388,255
Calabria,2023,11,107026,1479
Campania,2023,11,361180,8172
Emilia-Romagna,2023,11,591510,13027
Friuli Venezia Giulia,2023,11,179524,4096
Lazio,2023,11,392669,16114
Liguria,2023,11,1399317,44856
Marche,2023,11,134470,3675
Molise,2023,11,22957,374
Piemonte,2023,11,416657,18143
Puglia,2023,11,296489,7031
Sardegna,2023,11,89250,518
Sicilia,2023,11,387892,281
Toscana,2023,11,364966,8011
Trentino-Alto Adige,2023,11,512780,30267
Umbria,2023,11,75493,2124
Valle d'Aosta,2023,11,17341,295
Veneto,2023,11,188497,3656
Abruzzo,2023,12,125505,10900
Basilicata,2023,12,32487,522
Calabria,2023,12,111645,4472
Campania,2023,12,373908,24016
Emilia-Romagna,2023,12,615952,13842
Friuli Venezia Giulia,2023,12,186026,6700
Lazio,2023,12,407112,37220
Liguria,2023,12,1460721,43327
Marche,2023,12,139678,6203
Molise,2023,12,24139,1120
Piemonte,2023,12,430896,16729
Puglia,2023,12,307961,16534
Sardegna,2023,12,92225,1079
Sicilia,2023,12,401552,709
Toscana,2023,12,381561,12985
Trentino-Alto Adige,2023,12,534687,27904
Umbria,2023,12,78147,4804
Valle d'Aosta,2023,12,18053,290
Veneto,2023,12,197034,5081
Abruzzo,2024,1,126586,1708
Basilicata,2024,1,32648,184
Calabria,2024,1,113069,1598
Campania,2024,1,375197,6874
Emilia-Romagna,2024,1,619773,2387
Friuli Venezia Giulia,2024,1,186427,1087
Lazio,2024,1,409815,8338
Liguria,2024,1,1475726,7673
Marche,2024,1,140313,917
Molise,2024,1,24471,211
Piemonte,2024,1,431443,2543
Puglia,2024,1,310450,5394
Sardegna,2024,1,92225,491
Sicilia,2024,1,403432,563
Toscana,2024,1,385834,2648
Trentino-Alto Adige,2024,1,538952,5920
Umbria,2024,1,78244,607
Valle d'Aosta,2024,1,18218,62
Veneto,2024,1,198988,880
Abruzzo,2024,2,118618,196
Basilicata,2024,2,30566,11
Calabria,2024,2,106361,187
Campania,2024,2,351917,627
Emilia-Romagna,2024,2,580698,474
Friuli Venezia Giulia,2024,2,174508,151
Lazio,2024,2,384384,1048
Liguria,2024,2,1386110,1699
Marche,2024,2,132113,112
Molise,2024,2,23107,11
Piemonte,2024,2,403881,453
Puglia,2024,2,291983,588
Sardegna,2024,2,86322,70
Sicilia,2024,2,378163,104
Toscana,2024,2,361999,532
Trentino-Alto Adige,2024,2,506170,1423
Umbria,2024,2,73215,83
Valle d'Aosta,2024,2,17104,14
Veneto,2024,2,186869,189
Abruzzo,2024,3,126829,54
Basilicata,2024,3,32685,3
Calabria,2024,3,113926,40
Campania,2024,3,376391,230
Emilia-Romagna,2024,3,621046,210
Friuli Venezia Giulia,2024,3,186558,28
Lazio,2024,3,411170,450
Liguria,2024,3,1483797,816
Marche,2024,3,141334,63
Molise,2024,3,24733,4
Piemonte,2024,3,431768,188
Puglia,2024,3,312485,212
Sardegna,2024,3,92287,31
Sicilia,2024,3,404609,80
Toscana,2024,3,387348,224
Trentino-Alto Adige,2024,3,541724,475
Umbria,2024,3,78434,40
Valle d'Aosta,2024,3,18318,6
Veneto,2024,3,199932,47
Abruzzo,2024,4,122779,11
Basilicata,2024,4,31650,3
Calabria,2024,4,110296,10
Campania,2024,4,364299,160
Emilia-Romagna,2024,4,601094,150
Friuli Venezia Giulia,2024,4,180555,56
Lazio,2024,4,398047,298
Liguria,2024,4,1436842,685
Marche,2024,4,136800,33
Molise,2024,4,23940,2
Piemonte,2024,4,417840,188
Puglia,2024,4,302542,145
Sardegna,2024,4,89310,22
Sicilia,2024,4,391714,61
Toscana,2024,4,375036,182
Trentino-Alto Adige,2024,4,524637,324
Umbria,2024,4,75960,31
Valle d'Aosta,2024,4,17730,5
Veneto,2024,4,193630,36
Abruzzo,2024,5,126890,23
Basilicata,2024,5,32705,4
Calabria,2024,5,113987,33
Campania,2024,5,376504,277
Emilia-Romagna,2024,5,621239,214
Friuli Venezia Giulia,2024,5,186589,85
Lazio,2024,5,411350,707
Liguria,2024,5,1485392,1125
Marche,2024,5,141360,8
Molise,2024,5,24738,1
Piemonte,2024,5,431768,286
Puglia,2024,5,312686,226
Sardegna,2024,5,92287,53
Sicilia,2024,5,404819,61
Toscana,2024,5,387596,310
Trentino-Alto Adige,2024,5,542213,399
Umbria,2024,5,78492,43
Valle d'Aosta,2024,5,18321,5
Veneto,2024,5,200244,69
Abruzzo,2024,6,122820,90
Basilicata,2024,6,31650,15
Calabria,2024,6,110362,110
Campania,2024,6,364386,1036
Emilia-Romagna,2024,6,601278,478
Friuli Venezia Giulia,2024,6,180570,321
Lazio,2024,6,398190,1981
Liguria,2024,6,1438285,1961
Marche,2024,6,136800,21
Molise,2024,6,23940,8
Piemonte,2024,6,417853,657
Puglia,2024,6,302640,465
Sardegna,2024,6,89336,153
Sicilia,2024,6,391863,191
Toscana,2024,6,375287,529
Trentino-Alto Adige,2024,6,524777,851
Umbria,2024,6,75960,88
Valle d'Aosta,2024,6,17735,15
Veneto,2024,6,193893,154
Abruzzo,2024,7,126924,823
Basilicata,2024,7,32742,60
Calabria,2024,7,114258,900
Campania,2024,7,376645,8200
Emilia-Romagna,2024,7,621469,2671
Friuli Venezia Giulia,2024,7,186610,1513
Lazio,2024,7,411631,7677
Liguria,2024,7,1487597,8650
Marche,2024,7,141360,58
Molise,2024,7,24738,49
Piemonte,2024,7,431799,2754
Puglia,2024,7,312847,3559
Sardegna,2024,7,92347,1092
Sicilia,2024,7,405351,486
Toscana,2024,7,388328,2947
Trentino-Alto Adige,2024,7,542396,3897
Umbria,2024,7,78515,665
Valle d'Aosta,2024,7,18352,53
Veneto,2024,7,200672,632
Abruzzo,2024,8,127037,2131
Basilicata,2024,8,32819,256
Calabria,2024,8,114751,1880
Campania,2024,8,376773,10567
Emilia-Romagna,2024,8,621988,4712
Friuli Venezia Giulia,2024,8,186696,1697
Lazio,2024,8,411975,8479
Liguria,2024,8,1491061,10511
Marche,2024,8,141419,112
Molise,2024,8,24738,253
Piemonte,2024,8,431838,3168
Puglia,2024,8,313232,7383
Sardegna,2024,8,92365,2200
Sicilia,2024,8,406122,886
Toscana,2024,8,389788,4443
Trentino-Alto Adige,2024,8,542904,6786
Umbria,2024,8,78535,1188
Valle d'Aosta,2024,8,18352,89
Veneto,2024,8,202226,1225
Abruzzo,2024,9,123140,1081
Basilicata,2024,9,31842,142
Calabria,2024,9,111476,533
Campania,2024,9,364833,4231
Emilia-Romagna,2024,9,602716,3015
Friuli Venezia Giulia,2024,9,181665,865
Lazio,2024,9,399055,5257
Liguria,2024,9,1447301,10462
Marche,2024,9,136892,91
Molise,2024,9,23966,171
Piemonte,2024,9,417965,3149
Puglia,2024,9,303671,2491
Sardegna,2024,9,89400,557
Sicilia,2024,9,393613,262
Toscana,2024,9,378375,2573
Trentino-Alto Adige,2024,9,526318,6319
Umbria,2024,9,76020,931
Valle d'Aosta,2024,9,17760,53
Veneto,2024,9,197803,1162
Abruzzo,2024,10,127420,736
Basilicata,2024,10,32922,61
Calabria,2024,10,115395,349
Campania,2024,10,377113,2069
Emilia-Romagna,2024,10,623662,3077
Friuli Venezia Giulia,2024,10,189426,1017
Lazio,2024,10,412649,4239
Liguria,2024,10,1500508,13645
Marche,2024,10,141453,74
Molise,2024,10,24770,83
Piemonte,2024,10,431942,4994
Puglia,2024,10,313921,1440
Sardegna,2024,10,92409,296
Sicilia,2024,10,407103,86
Toscana,2024,10,392340,2821
Trentino-Alto Adige,2024,10,544572,6126
Umbria,2024,10,78618,436
Valle d'Aosta,2024,10,18352,79
Veneto,2024,10,207117,1242
Abruzzo,2024,11,123395,149
Basilicata,2024,11,31890,9
Calabria,2024,11,111709,123
Campania,2024,11,365010,479
Emilia-Romagna,2024,11,604083,948
Friuli Venezia Giulia,2024,11,183533,395
Lazio,2024,11,399501,1376
Liguria,2024,11,1458007,2840
Marche,2024,11,136949,103
Molise,2024,11,24000,22
Piemonte,2024,11,418098,956
Puglia,2024,11,303930,459
Sardegna,2024,11,89544,234
Sicilia,2024,11,394145,39
Toscana,2024,11,380761,999
Trentino-Alto Adige,2024,11,527764,1832
Umbria,2024,11,76110,12
Valle d'Aosta,2024,11,17760,7
Veneto,2024,11,202973,364
Abruzzo,2024,12,127542,118
Basilicata,2024,12,32997,8
Calabria,2024,12,115491,75
Campania,2024,12,377227,336
Emilia-Romagna,2024,12,624435,880
Friuli Venezia Giulia,2024,12,189731,129
Lazio,2024,12,412993,1213
Liguria,2024,12,1509436,2006
Marche,2024,12,141608,55
Molise,2024,12,24800,9
Piemonte,2024,12,432047,603
Puglia,2024,12,314236,336
Sardegna,2024,12,92588,312
Sicilia,2024,12,407426,53
Toscana,2024,12,394120,811
Trentino-Alto Adige,2024,12,545687,920
Umbria,2024,12,78647,6
Valle d'Aosta,2024,12,18352,8
Veneto,2024,12,211345,289
Abruzzo,2025,1,32920,39
Basilicata,2025,1,8527,1
Calabria,2025,1,29817,34
Campania,2025,1,97352,89
Emilia-Romagna,2025,1,161232,198
Friuli Venezia Giulia,2025,1,48968,16
Lazio,2025,1,106628,113
Liguria,2025,1,389848,489
Marche,2025,1,36544,21
Molise,2025,1,6400,0
Piemonte,2025,1,111496,107
Puglia,2025,1,81102,101
Sardegna,2025,1,23904,22
Sicilia,2025,1,105160,8
Toscana,2025,1,101769,257
Trentino-Alto Adige,2025,1,140860,189
Umbria,2025,1,20296,3
Valle d'Aosta,2025,1,4736,0
Veneto,2025,1,54701,81
